# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
0 0 0 000000
1 0 0 000000
2 0 0 000000
3 0 0 000000
4 0 0 000000
5 0 0 000000
0 1 0 000000
1 1 0 000000
2 1 0 000000
3 1 0 000000
4 1 0 000000
5 1 0 000000
0 2 0 000000
1 2 0 000000
2 2 0 000000
3 2 0 000000
4 2 0 000000
5 2 0 000000
0 3 0 000000
1 3 0 000000
2 3 0 000000
3 3 0 000000
4 3 0 000000
5 3 0 000000
0 4 0 000000
1 4 0 000000
2 4 0 000000
3 4 0 000000
4 4 0 000000
5 4 0 000000
0 5 0 000000
1 5 0 000000
2 5 0 000000
3 5 0 000000
4 5 0 000000
5 5 0 000000
0 0 1 847e87
1 0 1 847e87
2 0 1 847e87
3 0 1 847e87
4 0 1 847e87
5 0 1 847e87
0 1 1 847e87
1 1 1 847e87
2 1 1 847e87
3 1 1 847e87
4 1 1 847e87
5 1 1 847e87
0 2 1 847e87
1 2 1 847e87
2 2 1 847e87
3 2 1 847e87
4 2 1 847e87
5 2 1 847e87
0 3 1 847e87
1 3 1 847e87
2 3 1 847e87
3 3 1 847e87
4 3 1 847e87
5 3 1 847e87
0 4 1 847e87
1 4 1 847e87
2 4 1 847e87
3 4 1 847e87
4 4 1 847e87
5 4 1 847e87
0 5 1 847e87
1 5 1 847e87
2 5 1 847e87
3 5 1 847e87
4 5 1 847e87
5 5 1 847e87
0 0 2 847e87
1 0 2 847e87
5 0 2 847e87
0 1 2 847e87
1 1 2 847e87
5 1 2 847e87
0 2 2 847e87
1 2 2 847e87
2 2 2 847e87
3 2 2 847e87
4 2 2 847e87
5 2 2 847e87
0 3 2 847e87
1 3 2 847e87
2 3 2 847e87
3 3 2 847e87
4 3 2 847e87
5 3 2 847e87
0 4 2 847e87
1 4 2 847e87
2 4 2 847e87
3 4 2 847e87
4 4 2 847e87
5 4 2 847e87
0 5 2 847e87
1 5 2 847e87
2 5 2 847e87
3 5 2 847e87
4 5 2 847e87
5 5 2 847e87
0 0 3 847e87
0 1 3 847e87
0 2 3 847e87
1 2 3 847e87
5 2 3 847e87
0 3 3 847e87
1 3 3 847e87
2 3 3 847e87
3 3 3 847e87
4 3 3 847e87
5 3 3 847e87
0 4 3 847e87
1 4 3 847e87
2 4 3 847e87
3 4 3 847e87
4 4 3 847e87
5 4 3 847e87
0 5 3 847e87
1 5 3 847e87
2 5 3 847e87
3 5 3 847e87
4 5 3 847e87
5 5 3 847e87
5 4 4 847e87
5 5 4 847e87
0 0 9 847e87
1 0 9 847e87
2 0 9 847e87
3 0 9 847e87
4 0 9 847e87
5 0 9 847e87
0 1 9 847e87
1 1 9 847e87
0 2 9 847e87
0 3 9 847e87
0 0 10 847e87
1 0 10 847e87
2 0 10 847e87
3 0 10 847e87
4 0 10 847e87
